prolific_pid,drawing_category,response,sketch_id,age,correct,child_id
558d8d71fdf99b534f79b352,House,House,108-008.png,9,TRUE,108
558d8d71fdf99b534f79b352,Bird,Airplane,27-007.png,5,FALSE,27
558d8d71fdf99b534f79b352,Chair,Chair,63-013.png,7,TRUE,63
558d8d71fdf99b534f79b352,Car,Car,95-007.png,8,TRUE,95
558d8d71fdf99b534f79b352,Car,Car,108-013.png,9,TRUE,108
558d8d71fdf99b534f79b352,Tree,Tree,6-014.png,4,TRUE,6
558d8d71fdf99b534f79b352,Chair,Chair,51-009.png,6,TRUE,51
558d8d71fdf99b534f79b352,Watch,Watch,68-016.png,7,TRUE,68
558d8d71fdf99b534f79b352,Bicycle,Bicycle,63-012.png,7,TRUE,63
558d8d71fdf99b534f79b352,Hat,Cup,27-015.png,5,FALSE,27
558d8d71fdf99b534f79b352,Airplane,Airplane,28-006.png,5,TRUE,28
558d8d71fdf99b534f79b352,Rabbit,Tree,7-011.png,4,FALSE,7
558d8d71fdf99b534f79b352,Hat,Hat,94-015.png,8,TRUE,94
558d8d71fdf99b534f79b352,Rabbit,Rabbit,93-012.png,8,TRUE,93
558d8d71fdf99b534f79b352,Airplane,Car,95-009.png,8,FALSE,95
558d8d71fdf99b534f79b352,Cat,Cat,94-009.png,8,TRUE,94
558d8d71fdf99b534f79b352,Hat,Chair,51-011.png,6,FALSE,51
558d8d71fdf99b534f79b352,Chair,Chair,108-007.png,9,TRUE,108
558d8d71fdf99b534f79b352,House,House,63-006.png,7,TRUE,63
558d8d71fdf99b534f79b352,Tree,Tree,68-015.png,7,TRUE,68
558d8d71fdf99b534f79b352,Cup,Cup,94-005.png,8,TRUE,94
558d8d71fdf99b534f79b352,Cup,Cup,63-015.png,7,TRUE,63
558d8d71fdf99b534f79b352,House,House,7-013.png,4,TRUE,7
558d8d71fdf99b534f79b352,Bird,Tree,51-008.png,6,FALSE,51
558d8d71fdf99b534f79b352,Cup,Cup,108-005.png,9,TRUE,108
558d8d71fdf99b534f79b352,Cat,Cat,51-016.png,6,TRUE,51
558d8d71fdf99b534f79b352,House,House,27-009.png,5,TRUE,27
558d8d71fdf99b534f79b352,Car,Car,51-015.png,6,TRUE,51
558d8d71fdf99b534f79b352,Bicycle,Car,7-008.png,4,FALSE,7
558d8d71fdf99b534f79b352,Cat,Cat,108-015.png,9,TRUE,108
558d8d71fdf99b534f79b352,Watch,Tree,50-010.png,6,FALSE,50
55b9a9b0fdf99b6906d2aba4,House,House,70-005.png,7,TRUE,70
55b9a9b0fdf99b6906d2aba4,Rabbit,Rabbit,110-008.png,9,TRUE,110
55b9a9b0fdf99b6906d2aba4,Cat,Cat,110-011.png,9,TRUE,110
55b9a9b0fdf99b6906d2aba4,Tree,Tree,30-015.png,5,TRUE,30
55b9a9b0fdf99b6906d2aba4,House,Hat,29-011.png,5,FALSE,29
