Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1,688a919bcce125f8358ab339,6675d8be57dcb7f1e395c6e3,APPROVED,Not Applicable,2025-07-30T21:41:51.648000Z,2025-07-30T21:47:24.437000Z,2025-07-30T21:47:24.996000Z,2025-07-30T21:47:24.854950Z,333,C18GSJ0Y,564,"English, Farsi",25,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
1,688a92f2698b75de1500e616,55ec49b67480920010aaa4e8,APPROVED,Not Applicable,2025-07-30T21:47:54.841000Z,2025-07-30T21:51:45.531000Z,2025-07-31T04:34:20.450000Z,2025-07-30T21:51:45.978878Z,231,C18GSJ0Y,2576,English,35,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688a93f23f7eeb09fe7cafdb,6824938830c974d9f6915e3c,APPROVED,Not Applicable,2025-07-30T21:51:46.219000Z,2025-07-30T22:05:24.157000Z,2025-07-30T22:05:26.806000Z,2025-07-30T22:05:24.776213Z,818,C18GSJ0Y,219,English,31,Male,White,United States,United States,United States,English,No,Full-Time
1,688a972501c1115c60bddf41,66940332d70583ebe9a33c05,APPROVED,Not Applicable,2025-07-30T22:05:25.077000Z,2025-07-30T22:18:37.773000Z,2025-07-30T22:18:40.933000Z,2025-07-30T22:18:38.216857Z,793,C18GSJ0Y,2781,English,19,Male,White,United States,United States,United States,English,Yes,Part-Time
1,688a9a4280addc8486c7d970,6669d0b650f615804a4d534f,APPROVED,Not Applicable,2025-07-30T22:18:45.211000Z,2025-07-30T22:22:59.377000Z,2025-07-31T04:34:21.520000Z,2025-07-30T22:22:59.797439Z,255,C18GSJ0Y,1240,English,37,Male,Asian,United States,United States,United States,English,No,Full-Time
1,688a9b44f2982193020e0723,6642690a93cc7510324fc235,APPROVED,Not Applicable,2025-07-30T22:23:24.092000Z,2025-07-30T22:29:57.937000Z,2025-07-30T22:29:58.607000Z,2025-07-30T22:29:58.409004Z,394,C18GSJ0Y,211,English,40,Female,White,United States,United States,United States,English,No,Part-Time
1,688a9ce86207a984859606b4,679ff314e2068250f20a0863,APPROVED,Not Applicable,2025-07-30T22:30:00.799000Z,2025-07-30T22:46:46.354000Z,2025-07-30T22:46:46.922000Z,2025-07-30T22:46:46.912242Z,1006,C18GSJ0Y,1433,English,53,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
1,688aa0d7f7d7fc872ba81920,64045393fa09ada78f0b5301,RETURNED,Not Applicable,2025-07-30T22:46:47.103000Z,,,2025-08-06T22:48:24.387962Z,,,5273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,688aa8fd81cc3a60a0c9a6e0,65e00891e4c0c8cad9c1583a,APPROVED,Not Applicable,2025-07-30T23:21:38.626000Z,2025-07-30T23:32:10.374000Z,2025-07-30T23:32:10.939000Z,2025-07-30T23:32:10.804107Z,632,C18GSJ0Y,2710,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688aab7b500199a6dc52a46e,65e5ec7c5cc8e775d79139b5,APPROVED,Not Applicable,2025-07-30T23:32:11.658000Z,2025-07-30T23:39:48.838000Z,2025-07-30T23:39:49.479000Z,2025-07-30T23:39:49.297959Z,458,C18GSJ0Y,2511,English,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688aad4884b5b5e216ee884a,66f47421b650b6c39e80fa0d,APPROVED,Not Applicable,2025-07-30T23:39:57.648000Z,2025-07-30T23:45:53.374000Z,2025-07-30T23:45:55.793000Z,2025-07-30T23:45:53.785631Z,356,C18GSJ0Y,3501,English,37,Female,White,United States,United States,United States,English,No,Full-Time
1,688aaeb3d5a12624047ec24e,66187caf2a94f9051c85c431,APPROVED,Not Applicable,2025-07-30T23:45:55.105000Z,2025-07-31T00:00:41.388000Z,2025-07-31T00:04:09.798000Z,2025-07-31T00:00:45.662932Z,887,C18GSJ0Y,1538,English,35,Male,White,United States,United States,United States,English,No,Full-Time
